Absorption_Lines_(A),Closest_NIST_Wavelength_(A),Corresponding_Ion
6464.327525,6464.353,Ca I
6473.417387,6473.45,Ca I
6495.554334,6495.576,Ca I
6501.411809,6501.446,Ca I
6556.009749,6556.0336,Ti I
6557.85123,6557.8729,Ti I
6574.561686,6574.595,Ca I
6594.720022,6594.7361,Ti I
6600.890941,6600.9285,Ti I
6719.509716,6719.536,Ca I
6744.95741,6744.9831,Ti I
7150.102726,7150,Ca I
7204.152139,7204,Ca I
7211.40052,7211.4228,Ti I
7246.819636,7246.851,Ti I
7253.676213,7253.7078,Ti I
7328.138634,7328,Ca I
7346.690572,7346.7186,Ti I
7359.737657,7359.7538,Ti I
7366.124069,7366.1298,Ti I
7951.323086,7951.338,Ti I
8437.258464,8437.272,Ti I
8437.963712,8437.97,Ti I
8500.358559,8500.36,Ca II
8544.456142,8544.44,Ca II
8664.524593,8664.52,Ca II
8677.747991,8677.755,Ti I
8685.368586,8685.368,Ti I
8840.856153,8840.8201,Ti II
